id,source,source_url,user,full_text,favorite_count,retweet_count
1447442092914061314,SocialFlow,http://www.socialflow.com,cnni,"Anti-Semitic graffiti has been found at the Auschwitz concentration camp complex, staff from the museum said in a statement on Tuesday, denouncing the incident as ""an outrageous attack"" on the memorial site. https://t.co/2gpxyeG49b",54,18
1447441854375596035,SocialFlow,http://www.socialflow.com,cnni,"Bride Sam didn't want to waste money on an expensive wedding dress she'd only wear once. So she vowed not to. 

https://t.co/EsCu4uHeLN",37,5
1447434565795127301,SocialFlow,http://www.socialflow.com,cnni,"William Shatner, who debuted on ""Star Trek"" in 1966, says the opportunity to go to space has him ""thrilled"" and ""a little frightened."" The 90-year-old will become the oldest person to do so. ""Things I've only played as an actor, I'm going to see firsthand"" https://t.co/LDjTbyypqi https://t.co/SmSujnF7Ja",79,21
1447427008946970624,SocialFlow,http://www.socialflow.com,cnni,"Researchers have discovered the third-ever tardigrade fossil on record, suspended within a piece of 16-million-year-old Dominican amber. https://t.co/ibpEBVOwLY",116,26
1447419466522968064,SocialFlow,http://www.socialflow.com,cnni,"A stray street dog in Istanbul, Turkey, has been seen traveling on public transport for several months https://t.co/ZE0ou0HR1W https://t.co/zfHaRDEyAS",247,67
1447411903786012675,SocialFlow,http://www.socialflow.com,cnni,"Police found a collection of more than 8,000 Nazi items on Tuesday at the house of a pedophile suspect in Rio de Janeiro, Brazil. https://t.co/kKZBHN4FwG",133,44
1447404357092356097,SocialFlow,http://www.socialflow.com,cnni,"Oscar-winning actress Diane Keaton appears in Justin Bieber's new music video ""Ghost"" playing the singer's grandmother. https://t.co/bP62YYOXfA https://t.co/enf830J6OC",79,11
1447396803570249729,SocialFlow,http://www.socialflow.com,cnni,More than 20 words of Korean origin have been added to the Oxford English Dictionary in its September update. https://t.co/IcC8Yp0sK5,91,18
1447381706806288386,SocialFlow,http://www.socialflow.com,cnni,"The animated residents of Springfield, including Bart, Homer, Marge, Lisa and Maggie, have made their runway debut during Paris Fashion Week. https://t.co/MQIwjvEyu6",110,20
1447374177506312194,SocialFlow,http://www.socialflow.com,cnni,"The teaser trailer for the ""Game of Thrones"" spinoff ""House of the Dragon"" has dropped. The HBO Max series will premiere in 2022. https://t.co/1qMtGKAwSM https://t.co/t7cR0942Ad",83,14
1447366608360460291,SocialFlow,http://www.socialflow.com,cnni,"The US Mint has announced the full list of five pioneering American women who will appear on the first run of the ""American Women Quarters Program."" https://t.co/9WcznKel1Y",113,33
1447359056532885510,SocialFlow,http://www.socialflow.com,cnni,Barbie becomes weightless during a zero-gravity flight. CNN's Jeanne Moos reports on the gravity of her astronaut training. https://t.co/pP6ZhDGB97 https://t.co/NIMnJ9Jqfp,54,11
1447351506928345092,SocialFlow,http://www.socialflow.com,cnni,"Before 'Squid Game' became one of Netflix's most popular shows ever, its writer and director Hwang Dong-hyuk spent more than ten years trying to get it made -- and says he lost six teeth due to the stress of filming. https://t.co/wERbTHb0Sn",136,24
1447305984372846597,SocialFlow,http://www.socialflow.com,cnni,"Pride in Football, the alliance of LGBT+ supporters' groups in Britain, criticised Newcastle United's takeover by a Saudi Arabia-led consortium and called for reforms to the Premier League's owners' and directors' test. https://t.co/IZZkCYc9Ge",44,11
1447290926079123465,SocialFlow,http://www.socialflow.com,cnni,"State electricity returned in Lebanon but still maxed out at two hours in most areas. 

Lebanon's Energy Minister told CNN Arabic that reports of a total power outage in the country were ""exaggerated."" https://t.co/sYTyD8Br7y",63,13
